algorithm_name,env_n,size,best_solution,H,states,time
HC,20,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,281,0.0006834840023657307
SA,20,8,"[1, 4, 1, 4, 1, 5, 7, 5]",9,512,0.004199287999654189
GA,20,8,"[4, 2, 5, 7, 5, 1, 6, 6]",4,512,0.01805120799690485
random,21,8,"[4, 1, 3, 0, 2, 5, 1, 6]",2,512,0.002071626004180871
HC,21,8,"[3, 0, 7, 4, 2, 5, 6, 1]",1,281,0.0006956339930184186
SA,21,8,"[1, 0, 0, 3, 4, 2, 5, 7]",6,512,0.0036932770017301664
GA,21,8,"[6, 3, 0, 7, 4, 2, 0, 4]",4,512,0.018785747000947595
random,22,8,"[7, 3, 1, 6, 4, 0, 5, 5]",2,512,0.002609117000247352
HC,22,8,"[5, 0, 4, 1, 7, 2, 6, 3]",0,225,0.0004164520069025457
SA,22,8,"[0, 6, 0, 5, 6, 4, 3, 5]",6,512,0.004122743004700169
GA,22,8,"[3, 5, 0, 4, 1, 5, 1, 6]",3,512,0.01883437199285254
random,23,8,"[7, 4, 1, 7, 0, 6, 3, 5]",1,512,0.0020284909987822175
HC,23,8,"[7, 1, 4, 0, 5, 0, 2, 6]",1,281,0.0005198150029173121
SA,23,8,"[4, 1, 4, 7, 0, 0, 2, 6]",5,512,0.00371388100029435
GA,23,8,"[0, 3, 7, 7, 6, 0, 2, 5]",4,512,0.01935492600023281
random,24,8,"[6, 3, 7, 0, 5, 5, 2, 6]",3,512,0.002041714993538335
HC,24,8,"[2, 0, 3, 1, 4, 6, 1, 7]",3,169,0.0003297889925306663
SA,24,8,"[3, 4, 2, 3, 7, 7, 2, 1]",8,512,0.004111171001568437
GA,24,8,"[4, 1, 1, 0, 5, 3, 7, 7]",5,512,0.018268807005370036
random,25,8,"[5, 0, 4, 6, 0, 6, 1, 7]",2,512,0.002049632996204309
HC,25,8,"[0, 5, 7, 2, 6, 3, 1, 4]",0,113,0.00021620700135827065
SA,25,8,"[6, 2, 5, 3, 6, 6, 6, 7]",11,512,0.0040889639931265265
GA,25,8,"[3, 0, 4, 6, 4, 2, 7, 5]",2,512,0.01955167399137281
random,26,8,"[5, 3, 0, 7, 4, 1, 3, 2]",2,512,0.002023869994445704
HC,26,8,"[5, 2, 0, 6, 4, 7, 1, 3]",0,281,0.0005863590049557388
SA,26,8,"[2, 5, 5, 4, 5, 5, 2, 3]",11,512,0.0038410449924413115
GA,26,8,"[7, 3, 0, 6, 1, 0, 5, 2]",4,512,0.018286371996509843
random,27,8,"[6, 2, 0, 6, 0, 5, 7, 4]",3,512,0.0020493740012170747
HC,27,8,"[5, 2, 6, 3, 0, 7, 4, 0]",1,225,0.0004195200017420575
SA,27,8,"[3, 4, 4, 5, 1, 1, 2, 4]",11,512,0.0043041530007030815
GA,27,8,"[1, 4, 6, 1, 4, 7, 3, 6]",4,512,0.018903385003795847
random,28,8,"[2, 0, 5, 3, 6, 4, 7, 1]",2,512,0.0024017959949560463
HC,28,8,"[6, 2, 5, 3, 1, 7, 4, 0]",2,225,0.0005715730076190084
SA,28,8,"[3, 6, 5, 3, 1, 2, 2, 5]",8,512,0.003927659010514617
GA,28,8,"[1, 4, 2, 0, 6, 6, 0, 2]",4,512,0.017810289005865343
random,29,8,"[6, 5, 2, 6, 3, 7, 4, 1]",2,512,0.002017607999732718
HC,29,8,"[7, 0, 3, 6, 2, 5, 2, 4]",1,225,0.00040429500222671777
SA,29,8,"[0, 6, 7, 6, 1, 3, 4, 2]",6,512,0.0042940050043398514
GA,29,8,"[7, 5, 2, 6, 3, 6, 4, 3]",4,512,0.01874263701029122
random,30,8,"[1, 7, 0, 2, 6, 5, 1, 4]",2,512,0.0022507800022140145
HC,30,8,"[7, 5, 1, 3, 0, 6, 4, 2]",1,225,0.0005867010040674359
SA,30,8,"[4, 1, 0, 7, 0, 5, 2, 3]",11,512,0.0038312459946610034
GA,30,8,"[3, 4, 4, 5, 0, 2, 7, 2]",4,512,0.019192617997759953
random,1,10,"[2, 8, 5, 9, 1, 3, 5, 7, 0, 4]",2,800,0.00462903299194295
HC,1,10,"[4, 2, 8, 0, 7, 3, 6, 9, 1, 5]",1,361,0.0011362079967511818
SA,1,10,"[6, 6, 0, 2, 4, 7, 9, 2, 0, 2]",6,689,0.007712563994573429
GA,1,10,"[8, 4, 0, 3, 3, 9, 1, 4, 2, 9]",5,800,0.05233292801131029
random,2,10,"[8, 3, 7, 9, 2, 9, 5, 4, 7, 1]",4,800,0.0044983179977862164
HC,2,10,"[0, 9, 3, 5, 8, 1, 1, 6, 2, 7]",2,361,0.0014377909974427894
SA,2,10,"[3, 8, 9, 0, 4, 5, 0, 8, 9, 7]",7,689,0.008460741999442689
GA,2,10,"[3, 7, 0, 8, 2, 9, 1, 9, 5, 8]",3,800,0.05238219001330435
random,3,10,"[7, 2, 5, 3, 6, 0, 7, 1, 4, 8]",3,800,0.004326105990912765
HC,3,10,"[3, 0, 4, 9, 8, 5, 7, 1, 6, 2]",1,451,0.0017903450061567128
SA,3,10,"[8, 1, 6, 4, 9, 7, 9, 4, 6, 1]",5,689,0.008899562992155552
GA,3,10,"[1, 5, 1, 4, 9, 4, 2, 3, 8, 6]",5,800,0.05370948699419387
random,4,10,"[3, 1, 8, 5, 1, 7, 0, 6, 9, 7]",3,800,0.0052699410007335246
HC,4,10,"[6, 3, 1, 4, 7, 5, 8, 2, 0, 9]",2,541,0.0015470399957848713
SA,4,10,"[5, 6, 1, 9, 0, 3, 7, 7, 3, 2]",4,689,0.008639310006401502
GA,4,10,"[0, 1, 8, 8, 2, 0, 9, 1, 6, 4]",6,800,0.05396265699528158
random,5,10,"[9, 1, 6, 4, 0, 8, 8, 3, 3, 7]",3,800,0.004269003999070264
HC,5,10,"[9, 2, 4, 1, 7, 0, 2, 6, 8, 3]",1,451,0.0016755870019551367
SA,5,10,"[1, 5, 0, 5, 6, 9, 3, 1, 5, 3]",10,689,0.007897044997662306
GA,5,10,"[5, 6, 2, 9, 3, 1, 4, 9, 8, 0]",5,800,0.05320411000866443
random,6,10,"[7, 9, 0, 5, 3, 0, 7, 4, 1, 3]",4,800,0.004585912000038661
HC,6,10,"[3, 6, 0, 2, 5, 9, 2, 9, 1, 4]",3,451,0.0013852929987479001
SA,6,10,"[5, 7, 2, 0, 6, 4, 9, 8, 6, 7]",4,689,0.0076035719976061955
GA,6,10,"[0, 7, 5, 3, 8, 4, 7, 9, 4, 6]",4,800,0.05334241200762335
random,7,10,"[4, 8, 3, 0, 0, 7, 9, 1, 8, 5]",4,800,0.004796163993887603
HC,7,10,"[4, 2, 8, 6, 1, 3, 5, 0, 9, 4]",2,451,0.0013093049929011613
SA,7,10,"[7, 9, 4, 1, 9, 0, 4, 1, 1, 3]",8,689,0.00786659400910139
GA,7,10,"[6, 1, 3, 7, 5, 0, 8, 6, 0, 9]",5,800,0.05255859899625648
random,8,10,"[8, 2, 7, 3, 6, 0, 9, 5, 9, 4]",3,800,0.0047619700053473935
HC,8,10,"[3, 7, 9, 4, 2, 0, 8, 6, 1, 1]",1,361,0.0009686519915703684
SA,8,10,"[0, 3, 8, 4, 1, 9, 7, 2, 5, 1]",5,689,0.008355005003977567
GA,8,10,"[7, 7, 0, 2, 6, 9, 3, 8, 9, 2]",4,800,0.054153762001078576
random,9,10,"[2, 5, 3, 9, 7, 0, 4, 8, 8, 0]",4,800,0.00458336400333792
HC,9,10,"[1, 3, 6, 7, 9, 2, 0, 5, 8, 5]",2,361,0.0011169420031365007
SA,9,10,"[6, 3, 0, 7, 3, 2, 9, 1, 8, 2]",3,689,0.007822982006473467
GA,9,10,"[6, 1, 6, 0, 9, 8, 2, 9, 7, 1]",5,800,0.053687134000938386
random,10,10,"[0, 2, 6, 9, 5, 8, 4, 7, 3, 8]",3,800,0.004843167989747599
HC,10,10,"[8, 3, 1, 9, 2, 0, 4, 7, 5, 6]",2,541,0.0014137419930193573
SA,10,10,"[1, 0, 0, 5, 7, 9, 7, 3, 6, 0]",8,689,0.008063934001256712
GA,10,10,"[7, 9, 7, 9, 3, 0, 7, 1, 8, 6]",5,800,0.05875390399887692
random,11,10,"[4, 6, 7, 5, 1, 8, 0, 9, 3, 5]",3,800,0.004244105002726428
HC,11,10,"[3, 8, 2, 9, 6, 1, 5, 4, 0, 7]",1,541,0.0014865730045130476
SA,11,10,"[0, 3, 6, 2, 5, 8, 1, 9, 5, 3]",4,689,0.008533326996257529
GA,11,10,"[5, 7, 4, 7, 0, 9, 5, 2, 1, 8]",5,800,0.05275248299585655
random,12,10,"[8, 0, 4, 9, 5, 1, 7, 5, 2, 6]",4,800,0.004160615993896499
HC,12,10,"[5, 1, 4, 6, 0, 9, 2, 8, 3, 7]",1,361,0.0010977940110024065
SA,12,10,"[2, 7, 4, 0, 5, 9, 9, 3, 8, 1]",3,689,0.008310094010084867
GA,12,10,"[1, 4, 6, 8, 2, 5, 0, 9, 1, 5]",3,800,0.051591556999483146
random,13,10,"[1, 3, 7, 9, 8, 0, 4, 1, 5, 6]",3,800,0.0041397620079806075
HC,13,10,"[0, 2, 4, 9, 1, 8, 5, 3, 6, 7]",1,451,0.0012243289966136217
SA,13,10,"[9, 0, 6, 3, 1, 8, 7, 3, 9, 0]",6,689,0.009336742004961707
GA,13,10,"[6, 4, 6, 9, 0, 2, 5, 7, 1, 1]",3,800,0.05299987000762485
random,14,10,"[0, 2, 5, 7, 6, 9, 3, 6, 4, 7]",4,800,0.004147983010625467
HC,14,10,"[2, 6, 1, 1, 7, 0, 3, 8, 4, 9]",1,631,0.0019042950007133186
SA,14,10,"[4, 3, 8, 5, 7, 2, 6, 5, 0, 9]",6,689,0.009222091000992805
GA,14,10,"[8, 1, 8, 5, 5, 1, 9, 6, 3, 4]",6,800,0.053505136995227076
random,15,10,"[2, 0, 1, 4, 0, 0, 3, 5, 6, 9]",5,800,0.004603237990522757
HC,15,10,"[8, 1, 9, 4, 0, 7, 3, 6, 2, 5]",1,631,0.002037976009887643
SA,15,10,"[6, 8, 3, 9, 5, 9, 1, 4, 8, 0]",7,689,0.008308897988172248
GA,15,10,"[3, 0, 9, 0, 4, 6, 8, 5, 1, 2]",6,800,0.052762992010684684
random,16,10,"[3, 8, 6, 3, 0, 7, 1, 4, 2, 7]",2,800,0.004744619989651255
HC,16,10,"[1, 8, 6, 3, 9, 0, 8, 5, 7, 2]",1,541,0.0014473479968728498
SA,16,10,"[1, 4, 7, 0, 2, 0, 6, 1, 4, 8]",5,689,0.008182468998711556
GA,16,10,"[3, 1, 4, 6, 8, 2, 7, 0, 3, 7]",4,800,0.05274848600674886
random,17,10,"[6, 2, 9, 7, 1, 3, 6, 0, 8, 3]",4,800,0.0046317689993884414
HC,17,10,"[0, 2, 7, 5, 8, 1, 4, 0, 3, 6]",1,451,0.001284850004594773
SA,17,10,"[9, 5, 1, 8, 0, 5, 2, 7, 3, 4]",5,689,0.008405115993809886
GA,17,10,"[8, 2, 9, 5, 1, 4, 1, 7, 8, 6]",5,800,0.052661645007901825
random,18,10,"[6, 0, 7, 1, 8, 8, 2, 7, 9, 1]",3,800,0.004791005005245097
HC,18,10,"[2, 6, 9, 7, 3, 0, 7, 1, 8, 5]",2,451,0.001170232004369609
SA,18,10,"[8, 0, 4, 1, 7, 5, 7, 1, 9, 4]",6,689,0.008352935008588247
GA,18,10,"[5, 3, 5, 7, 2, 9, 4, 1, 8, 0]",4,800,0.05244769599812571
random,19,10,"[0, 3, 6, 2, 1, 4, 9, 8, 2, 5]",4,800,0.004986381987691857
HC,19,10,"[4, 9, 1, 5, 7, 8, 0, 2, 6, 3]",2,451,0.00122682900109794
SA,19,10,"[6, 8, 7, 5, 3, 0, 0, 4, 4, 9]",4,689,0.008355725003639236
GA,19,10,"[8, 2, 5, 9, 8, 0, 3, 9, 6, 6]",5,800,0.055991680012084544
random,20,10,"[0, 2, 9, 5, 5, 8, 1, 7, 4, 6]",3,800,0.004803174000699073
HC,20,10,"[6, 0, 9, 7, 5, 2, 8, 1, 4, 4]",1,361,0.0011615069961408153
SA,20,10,"[8, 8, 3, 0, 9, 6, 1, 7, 4, 1]",3,689,0.007859493998694234
GA,20,10,"[9, 3, 1, 8, 6, 2, 0, 8, 4, 5]",3,800,0.053447543003130704
random,21,10,"[2, 4, 5, 9, 0, 9, 0, 6, 3, 1]",3,800,0.004805716991540976
HC,21,10,"[6, 3, 6, 0, 9, 4, 1, 8, 2, 5]",1,451,0.001340552989859134
SA,21,10,"[9, 0, 0, 7, 6, 4, 1, 9, 7, 5]",9,689,0.008123263003653847
GA,21,10,"[1, 5, 2, 8, 1, 3, 9, 6, 7, 2]",5,800,0.05289215898665134
random,22,10,"[1, 6, 9, 5, 7, 0, 4, 3, 7, 8]",4,800,0.005110195997986011
HC,22,10,"[2, 6, 5, 3, 1, 9, 4, 1, 7, 0]",2,361,0.0009919330041157082
SA,22,10,"[1, 9, 0, 5, 1, 7, 5, 0, 2, 4]",5,689,0.008053537996602245
GA,22,10,"[7, 1, 0, 5, 8, 4, 8, 3, 9, 9]",5,800,0.053416199996718206
random,23,10,"[9, 6, 3, 7, 4, 8, 2, 0, 5, 7]",4,800,0.004969051995431073
HC,23,10,"[9, 5, 3, 0, 6, 3, 5, 7, 2, 4]",3,361,0.0009747549920575693
SA,23,10,"[3, 9, 6, 9, 6, 8, 0, 4, 1, 5]",4,689,0.008917133993236348
GA,23,10,"[0, 5, 4, 9, 7, 3, 1, 3, 9, 6]",3,800,0.053894649987341836
random,24,10,"[4, 0, 9, 4, 1, 8, 2, 7, 5, 1]",4,800,0.004392155999084935
HC,24,10,"[3, 0, 7, 5, 2, 9, 1, 4, 8, 3]",1,541,0.0014719189930474386
SA,24,10,"[3, 6, 7, 2, 1, 5, 8, 8, 0, 0]",5,689,0.008162357000401244
GA,24,10,"[1, 6, 7, 1, 8, 8, 2, 3, 0, 5]",7,800,0.053362402992206626
random,25,10,"[3, 6, 9, 1, 1, 5, 6, 9, 7, 0]",4,800,0.004515248001553118
HC,25,10,"[8, 5, 7, 1, 3, 0, 6, 4, 9, 2]",1,361,0.0009757359948707744
SA,25,10,"[0, 3, 8, 4, 2, 1, 5, 1, 9, 9]",5,689,0.008519417999195866
GA,25,10,"[6, 4, 9, 5, 0, 7, 1, 3, 7, 0]",4,800,0.05397626300691627
random,26,10,"[0, 2, 7, 3, 1, 1, 5, 9, 6, 4]",3,800,0.004143426995142363
HC,26,10,"[8, 5, 3, 9, 0, 4, 1, 7, 2, 6]",0,271,0.0007146459975047037
SA,26,10,"[8, 1, 9, 9, 0, 1, 4, 2, 5, 3]",4,689,0.008601608002209105
GA,26,10,"[3, 9, 7, 4, 1, 0, 2, 5, 6, 1]",4,800,0.05390748799254652
random,27,10,"[0, 3, 0, 8, 8, 2, 9, 3, 1, 5]",4,800,0.004124275001231581
HC,27,10,"[4, 9, 0, 2, 5, 1, 7, 0, 8, 6]",2,541,0.0014745989901712164
SA,27,10,"[2, 5, 3, 7, 1, 4, 0, 6, 3, 6]",7,689,0.008499415998812765
GA,27,10,"[7, 1, 9, 5, 1, 8, 9, 3, 0, 5]",7,800,0.052730445997440256
random,28,10,"[2, 9, 3, 8, 1, 4, 0, 0, 6, 9]",3,800,0.004215472989017144
HC,28,10,"[4, 6, 5, 9, 2, 0, 8, 3, 1, 7]",2,361,0.0009698359936010092
SA,28,10,"[5, 5, 4, 4, 9, 3, 6, 8, 0, 2]",6,689,0.008811674997559749
GA,28,10,"[0, 9, 4, 4, 1, 3, 0, 9, 7, 4]",7,800,0.05307246299344115
random,29,10,"[2, 5, 8, 4, 1, 9, 6, 3, 7, 2]",3,800,0.004191323008853942
HC,29,10,"[3, 3, 6, 2, 5, 1, 4, 0, 8, 4]",2,541,0.0017598580016056076
SA,29,10,"[2, 5, 1, 8, 4, 9, 7, 0, 9, 4]",5,689,0.008602133006206714
GA,29,10,"[1, 4, 2, 4, 2, 9, 5, 3, 5, 3]",5,800,0.05254274400067516
random,30,10,"[5, 1, 0, 7, 1, 6, 0, 2, 4, 8]",4,800,0.00420354500238318
HC,30,10,"[4, 1, 5, 8, 1, 7, 2, 6, 9, 0]",1,541,0.001723896013572812
SA,30,10,"[1, 7, 0, 6, 9, 0, 2, 4, 4, 1]",5,689,0.009307218002504669
GA,30,10,"[4, 9, 0, 6, 3, 6, 1, 9, 4, 8]",5,800,0.05559702900063712
